100,0.001322
200,0.007840
300,0.016186
400,0.031726
500,0.061655
600,0.109024
700,0.168709
800,0.251702
900,0.364345
1000,0.503787
1100,0.673981
1200,0.870073
1300,1.113740
1400,1.379860
1500,1.698796
1600,2.037167
1700,2.425870
1800,2.888099
1900,3.426554
2000,4.026957
2100,4.653129
2200,5.455892
2300,5.984718
2400,6.748713
2500,7.814335
2600,8.629290
2700,9.678947
2800,10.876900
2900,11.995591
3000,13.414695
3100,15.001214
3200,16.848036
3300,18.631853
3400,20.277542
3500,21.459803
3600,23.500699
3700,25.795256
