100,0.000002
200,0.000003
300,0.000004
400,0.000006
500,0.000006
600,0.000008
700,0.000009
800,0.000010
900,0.000011
1000,0.000010
1100,0.000010
1200,0.000010
1300,0.000010
1400,0.000011
1500,0.000012
1600,0.000012
1700,0.000013
1800,0.000013
1900,0.000014
2000,0.000016
2100,0.000015
2200,0.000016
2300,0.000016
2400,0.000017
2500,0.000017
2600,0.000018
2700,0.000018
2800,0.000020
2900,0.000021
3000,0.000020
3100,0.000020
3200,0.000021
3300,0.000021
3400,0.000022
3500,0.000022
3600,0.000023
3700,0.000023
3800,0.000025
3900,0.000025
4000,0.000025
4100,0.000025
4200,0.000026
4300,0.000026
4400,0.000026
4500,0.000026
4600,0.000027
4700,0.000026
4800,0.000029
4900,0.000028
5000,0.000029
5100,0.000030
5200,0.000029
5300,0.000030
5400,0.000031
5500,0.000030
5600,0.000029
5700,0.000030
5800,0.000031
5900,0.000031
6000,0.000032
6100,0.000032
6200,0.000033
6300,0.000031
6400,0.000032
6500,0.000032
6600,0.000033
6700,0.000033
6800,0.000034
6900,0.000034
7000,0.000035
7100,0.000035
7200,0.000034
7300,0.000034
7400,0.000034
7500,0.000036
7600,0.000036
7700,0.000036
7800,0.000036
7900,0.000035
8000,0.000036
8100,0.000036
8200,0.000036
8300,0.000037
8400,0.000038
8500,0.000038
8600,0.000038
8700,0.000036
8800,0.000036
8900,0.000038
9000,0.000037
9100,0.000039
9200,0.000039
9300,0.000039
9400,0.000038
9500,0.000039
9600,0.000039
9700,0.000039
9800,0.000040
9900,0.000040
10000,0.000041
